Variable 1,Variable 2,Correlation
age,faminc,0.0524400553012582
hage,unemployment,0.05309384247304885
hhours,mothereduc,0.05335375454729517
heduc,unemployment,0.05501717847222451
hmothereduc,hours,0.055211297363723516
wage76,hage,-0.055398862411286776
hours,hhours,-0.05634758799702493
taxableinc,hours,-0.057288549101823065
taxableinc,hhours,-0.05729145291081849
hsiblings,exper,0.05744392195966789
mtr,unemployment,-0.05767402532286808
lfp,fathereduc,0.057718407140138865
hours,mothereduc,0.057863745076145896
age,wage76,-0.058314931055631666
fathereduc,unemployment,0.05853182574709269
kids618,educ,-0.05889891206345341
age,mtr,-0.059336390987091425
kidsl6,mtr,0.05980436370991505
wage,hhours,-0.059918861202730204
hfathereduc,hours,0.05994296516240194
hours,unemployment,-0.06028983254008639
wage,hwage,0.06128969091305725
faminc,unemployment,0.06152144662968467
hmothereduc,mtr,0.061933954668472777
lfp,hhours,-0.0651826052097815
wage,largecity,0.06541100636734153
educ,exper,0.06625556147412408
siblings,largecity,-0.06686975543995338
hage,largecity,0.0676240773640465
mothereduc,largecity,0.06795705449197816
kids618,wage76,-0.06868021319056536
lfp,hwage,-0.06947525721894549
federaltax,kidsl6,0.07023269858883249
wage76,hhours,-0.0707971978547486
educ,unemployment,0.07214002781330398
lfp,hage,-0.07282004820802387
hmothereduc,faminc,-0.0743291275221995
age,unemployment,0.0770768510561476
fathereduc,exper,-0.07880217270073007
educ,hhours,0.07891592466791088
taxableinc,kidsl6,0.08049579085398655
lfp,age,-0.08049810879062047
taxableinc,educ,-0.08064927210769617
mothereduc,exper,-0.08217890230835129
kidsl6,kids618,0.08415987238109723
age,hhours,-0.08437157355224112
federaltax,educ,-0.08481900166802274
wage76,mothereduc,0.08559776228464251
wage76,largecity,0.08739433771754218
wage,mothereduc,0.09030521836747982
lfp,mothereduc,0.09048972759090057
hours,kids618,-0.09063206955451303
hhours,hage,-0.09538703186227501
kidsl6,fathereduc,0.09607594590727966
age,largecity,0.09642533400782952
wage,fathereduc,0.0984768425373512
hours,hwage,-0.09859893836466703
lfp,faminc,0.09889537851139953
federaltax,wage,-0.09922828470679926
hhours,exper,-0.09936624886045632
kids618,hhours,0.09937789083823358
wage76,fathereduc,0.10277242507553509
hwage,exper,-0.10330619400652719
hmothereduc,hwage,-0.10515298858294425
hours,educ,0.10596041619558577
wage76,heduc,0.10696655660589274
kidsl6,mothereduc,0.10782887759867706
hhours,heduc,0.10784466867578768
kidsl6,educ,0.10869021826966623
hhours,largecity,-0.11259468535880619
federaltax,lfp,-0.11290978787113873
taxableinc,wage,-0.11298693835629663
age,educ,-0.1202229898591367
kidsl6,wage,-0.12289534293429405
wage,heduc,0.12622373460334982
hwage,mothereduc,0.12673585025592088
hhours,faminc,0.12814150984662295
educ,hage,-0.13352150364067542
kidsl6,heduc,0.13362345253162708
kidsl6,wage76,-0.1349088310964058
hage,fathereduc,-0.1350002274732222
hhours,mtr,-0.13697346631795784
federaltax,hsiblings,-0.14215430170249338
lfp,mtr,-0.14482547269340323
kids618,mtr,0.14614976869222845
hours,faminc,0.1463055222740013
taxableinc,lfp,-0.14872032138472746
fathereduc,largecity,0.1518162164362452
hhours,unemployment,-0.15521959256930604
hwage,unemployment,0.1579201740969584
educ,largecity,0.15952199233590972
faminc,mothereduc,0.15989391688860344
age,fathereduc,-0.1605908520386234
age,heduc,-0.16304944268274643
federaltax,siblings,-0.17606048364142557
taxableinc,hsiblings,-0.1768689888584852
unemployment,largecity,0.18404752593047274
lfp,educ,0.1873528458721704
hfathereduc,siblings,-0.18803931543208596
mtr,mothereduc,-0.1884902310181931
hmothereduc,siblings,-0.18972386261958463
hours,mtr,-0.19192674408438595
hwage,fathereduc,0.19322902003468925
kidsl6,exper,-0.19403650747243228
hage,heduc,-0.195322553426487
hsiblings,siblings,0.19608119808609717
federaltax,hmothereduc,0.20215820781316993
wage76,faminc,0.20871166851461231
taxableinc,siblings,-0.20937744485458856
faminc,fathereduc,0.2110689194541421
lfp,kidsl6,-0.21374930259193198
taxableinc,hmothereduc,0.2211296776171126
hours,kidsl6,-0.22206329647164758
hage,mothereduc,-0.22745675691638248
wage,faminc,0.23117514389504618
federaltax,hfathereduc,0.23185281742116698
heduc,largecity,0.23334852272951423
age,mothereduc,-0.2346415638013597
hhours,hwage,-0.23602081274396766
wage76,mtr,-0.2435400328259568
faminc,largecity,0.24511730387901748
mtr,fathereduc,-0.24586884609679746
wage,exper,0.250580077827612
mtr,largecity,-0.2550632014380453
wage,mtr,-0.26042793075911574
taxableinc,hfathereduc,0.26064334490249325
educ,wage76,0.2675745422238227
hage,exper,0.27191045474316305
hsiblings,hfathereduc,-0.2808532421521839
educ,hwage,0.2849361150211263
kids618,exper,-0.2995133757746222
hsiblings,hmothereduc,-0.3162356877030384
educ,wage,0.3183780737817732
hwage,largecity,0.3234421431662182
heduc,mothereduc,0.3244747097442627
age,exper,0.33401587863093113
wage76,exper,0.3415569188587369
lfp,exper,0.342484655135745
kids618,hage,-0.3501994340919138
educ,faminc,0.3612749505559234
heduc,fathereduc,0.3666995609549518
heduc,faminc,0.37687184485080516
kids618,age,-0.38541134089286433
heduc,hwage,0.3946647874394659
hours,exper,0.4049587169804703
educ,mtr,-0.4053678153967504
hours,wage,0.42294447256589746
kidsl6,age,-0.43394868679606324
educ,mothereduc,0.4353364971872662
heduc,mtr,-0.43662898146556955
educ,fathereduc,0.4424582341056471
kidsl6,hage,-0.442991437994668
hfathereduc,hmothereduc,0.448958547345233
mothereduc,fathereduc,0.5730717425208368
hours,wage76,0.6069163749175548
educ,heduc,0.6119537777377456
lfp,wage76,0.6340485414089683
lfp,wage,0.6387080270430924
wage,wage76,0.651641103866417
hwage,mtr,-0.7206702215367928
hwage,faminc,0.7250227470638724
lfp,hours,0.7411453865054087
faminc,mtr,-0.884248622217451
age,hage,0.8881379748786097
taxableinc,federaltax,0.9669954579983464
